epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.304,1.93358,1.6186,1.14215,0.27399,0.24719,0.21889,0.10944,1.73812,1.382,1.16295,0.0674064,0.000665175,0.000665175
2,243.953,1.60684,1.08924,1.00437,0.39838,0.28684,0.28171,0.14393,1.59642,1.20924,1.11544,0.0347134,0.00130547,0.00130547
3,376.846,1.50635,0.98413,0.97885,0.3978,0.29476,0.29581,0.1519,1.5474,1.14265,1.10463,0.00199394,0.00191937,0.00191937
4,527.645,1.46056,0.92208,0.9625,0.43567,0.2858,0.30842,0.15954,1.50105,1.11164,1.08258,0.0018812,0.0018812,0.0018812
5,666.971,1.42158,0.87992,0.95135,0.42447,0.33828,0.33195,0.16949,1.49095,1.06136,1.08922,0.0018416,0.0018416,0.0018416
6,784.745,1.41049,0.86042,0.94705,0.42137,0.32522,0.33306,0.17003,1.48481,1.03402,1.07327,0.001802,0.001802,0.001802
7,1414.11,1.39882,0.84688,0.94327,0.46721,0.32596,0.3513,0.17654,1.48939,1.04447,1.0781,0.0017624,0.0017624,0.0017624
8,1524.72,1.38918,0.83602,0.93865,0.47038,0.32143,0.33646,0.1717,1.47666,1.05673,1.07147,0.0017228,0.0017228,0.0017228
9,1632.18,1.38186,0.82892,0.9364,0.44987,0.37072,0.35869,0.17768,1.47533,1.04706,1.07227,0.0016832,0.0016832,0.0016832
10,2237.49,1.36879,0.81666,0.93256,0.48189,0.37343,0.37232,0.17967,1.46235,1.02916,1.06968,0.0016436,0.0016436,0.0016436
11,2357.67,1.37083,0.81375,0.93365,0.46255,0.35624,0.36277,0.18125,1.46027,1.01921,1.06551,0.001604,0.001604,0.001604
12,3615.71,1.36669,0.80865,0.92925,0.47717,0.3772,0.38006,0.18481,1.46104,0.99763,1.06442,0.0015644,0.0015644,0.0015644
13,3740.74,1.36232,0.80514,0.92936,0.48021,0.36173,0.37138,0.18506,1.45542,0.97532,1.06338,0.0015248,0.0015248,0.0015248
14,3864.74,1.36008,0.8017,0.92867,0.48289,0.3784,0.38034,0.18921,1.45663,0.98051,1.07304,0.0014852,0.0014852,0.0014852
15,3995.98,1.3528,0.79773,0.9264,0.46229,0.37399,0.37994,0.19009,1.45879,0.97065,1.0646,0.0014456,0.0014456,0.0014456
16,4109.26,1.35131,0.79538,0.92839,0.45658,0.37937,0.37774,0.19186,1.44688,0.96637,1.05691,0.001406,0.001406,0.001406
17,4604.7,1.35291,0.7945,0.92554,0.48912,0.35589,0.3725,0.18969,1.44732,0.97785,1.0521,0.0013664,0.0013664,0.0013664
18,4754.77,1.34622,0.79015,0.92672,0.47894,0.38465,0.39041,0.19097,1.44814,0.95417,1.06443,0.0013268,0.0013268,0.0013268
19,4860.67,1.34788,0.7908,0.92439,0.41841,0.41315,0.38497,0.19266,1.44115,0.97137,1.05407,0.0012872,0.0012872,0.0012872
20,4980.09,1.33991,0.78229,0.92252,0.45548,0.39717,0.39466,0.19202,1.43534,0.94603,1.05103,0.0012476,0.0012476,0.0012476
21,5116.56,1.35144,0.79045,0.9261,0.56653,0.37219,0.40826,0.2012,1.4358,0.94635,1.05391,0.001208,0.001208,0.001208
22,5225.87,1.33636,0.78221,0.92179,0.50669,0.37741,0.40061,0.19527,1.43423,0.96926,1.04803,0.0011684,0.0011684,0.0011684
23,5549.8,1.33264,0.77413,0.92118,0.52213,0.37642,0.41333,0.19658,1.43076,0.98075,1.04539,0.0011288,0.0011288,0.0011288
24,5977.12,1.33593,0.77753,0.92156,0.48467,0.42266,0.41276,0.19762,1.43585,0.96279,1.04503,0.0010892,0.0010892,0.0010892
25,6094.22,1.34399,0.78293,0.92384,0.45253,0.44665,0.41394,0.20385,1.42568,0.94905,1.04909,0.0010496,0.0010496,0.0010496
26,7174.59,1.33469,0.77581,0.92173,0.50755,0.4179,0.42129,0.20103,1.43208,0.95221,1.04787,0.00101,0.00101,0.00101
