epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.061,1.93358,1.6186,1.14215,0.27399,0.24719,0.21889,0.10944,1.73812,1.382,1.16295,0.0674064,0.000665175,0.000665175
2,1468.76,1.60813,1.09067,1.0048,0.38251,0.28034,0.27523,0.14154,1.5991,1.20881,1.11781,0.0346738,0.00126592,0.00126592
3,1602.57,1.50858,0.9865,0.97972,0.38305,0.30698,0.29723,0.15265,1.54796,1.14523,1.10274,0.00187523,0.00180066,0.00180066
4,1745.22,1.46267,0.92507,0.96339,0.44722,0.28102,0.31234,0.15952,1.504,1.10899,1.08523,0.001703,0.001703,0.001703
5,1879.97,1.42396,0.88304,0.95248,0.41848,0.32409,0.33047,0.16826,1.48792,1.06776,1.08848,0.001604,0.001604,0.001604
6,1998.08,1.41254,0.86283,0.94794,0.43497,0.31855,0.327,0.16965,1.49026,1.03468,1.07804,0.001505,0.001505,0.001505
7,2829.95,1.40023,0.84931,0.94431,0.42152,0.33508,0.34163,0.17387,1.48879,1.03508,1.08064,0.001406,0.001406,0.001406
8,2941.96,1.39003,0.83836,0.93945,0.44756,0.33331,0.34201,0.17322,1.47448,1.05646,1.07758,0.001307,0.001307,0.001307
9,3048.87,1.38306,0.83144,0.93745,0.5369,0.33285,0.35839,0.17769,1.47504,1.02988,1.07372,0.001208,0.001208,0.001208
10,3158.39,1.36917,0.81907,0.93352,0.46313,0.36924,0.35747,0.1787,1.46629,1.02236,1.06906,0.001109,0.001109,0.001109
11,3675.35,1.34501,0.80203,0.93536,0.45515,0.36739,0.35745,0.17847,1.46338,1.03821,1.07051,0.00101,0.00101,0.00101
12,3783.4,1.33898,0.80214,0.93595,0.46855,0.3413,0.34637,0.17532,1.4593,1.023,1.06384,0.000911,0.000911,0.000911
13,3883.92,1.33334,0.78904,0.93356,0.48589,0.36371,0.36011,0.17837,1.45283,1.02136,1.0668,0.000812,0.000812,0.000812
14,4261.46,1.32693,0.77888,0.93058,0.50956,0.35268,0.34945,0.17684,1.45603,1.01104,1.06726,0.000713,0.000713,0.000713
15,4367.93,1.3172,0.77072,0.92618,0.49585,0.40711,0.38611,0.18564,1.44901,1.00038,1.06767,0.000614,0.000614,0.000614
16,5348.2,1.31475,0.76535,0.92518,0.51453,0.38408,0.38952,0.18512,1.44748,1.00218,1.06407,0.000515,0.000515,0.000515
17,5452.39,1.31154,0.76352,0.92448,0.50406,0.36466,0.37225,0.18378,1.45056,1.00495,1.0601,0.000416,0.000416,0.000416
18,6283.81,1.30504,0.75959,0.92311,0.5566,0.36234,0.37515,0.18499,1.45284,0.98724,1.068,0.000317,0.000317,0.000317
19,6387.36,1.30561,0.75804,0.92054,0.51679,0.37687,0.37886,0.18629,1.45001,0.99491,1.06519,0.000218,0.000218,0.000218
20,6495.78,1.30778,0.76303,0.92183,0.54125,0.37297,0.37982,0.18658,1.44581,0.98763,1.06326,0.000119,0.000119,0.000119
