epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.92784,1.40911,1.27298,1.46426,0.60565,0.45841,0.48367,0.21541,2.07239,1.6557,1.79292,0.0707143,0.00325397,0.00325397
2,18.5988,1.41017,1.22945,1.46141,0.59113,0.41503,0.46483,0.19463,2.22448,1.74899,1.89346,0.0405839,0.00645687,0.00645687
3,27.3564,1.47191,1.28291,1.47666,0.48915,0.43757,0.44033,0.18331,2.17739,1.63777,1.88609,0.0103214,0.00952778,0.00952778
4,35.7761,1.48751,1.33444,1.51056,0.55325,0.41737,0.42859,0.18715,2.18906,1.72677,1.81313,0.009406,0.009406,0.009406
5,44.1146,1.49074,1.31165,1.48573,0.59572,0.37934,0.42665,0.16254,2.3083,1.75248,1.92054,0.009208,0.009208,0.009208
6,52.3392,1.51573,1.34664,1.50625,0.46349,0.43774,0.40536,0.15741,2.20037,1.81015,1.82608,0.00901,0.00901,0.00901
7,60.6788,1.50534,1.33096,1.51097,0.45975,0.44796,0.40923,0.15874,2.20933,1.91229,1.88052,0.008812,0.008812,0.008812
8,69.0447,1.51886,1.34137,1.50269,0.49616,0.40549,0.40395,0.14842,2.34995,1.91932,1.9158,0.008614,0.008614,0.008614
9,77.4838,1.51907,1.34533,1.50581,0.5095,0.3829,0.39318,0.16421,2.14952,1.72133,1.79685,0.008416,0.008416,0.008416
10,86.0444,1.50313,1.36506,1.51085,0.44431,0.37889,0.34092,0.14179,2.45743,1.79817,2.06303,0.008218,0.008218,0.008218
11,94.254,1.50154,1.31927,1.50969,0.52475,0.45129,0.43398,0.17424,2.28683,1.73261,1.94781,0.00802,0.00802,0.00802
12,102.707,1.48842,1.31824,1.50713,0.52547,0.4483,0.46692,0.18634,2.22749,1.66012,1.8367,0.007822,0.007822,0.007822
13,111.373,1.46975,1.29397,1.50096,0.52722,0.47126,0.45522,0.18003,2.13455,1.75397,1.77332,0.007624,0.007624,0.007624
14,119.921,1.47051,1.27801,1.48841,0.49406,0.4043,0.39796,0.16231,2.14682,1.69962,1.80399,0.007426,0.007426,0.007426
15,128.557,1.46242,1.2514,1.47518,0.5239,0.37452,0.41955,0.16506,2.35663,1.86569,2.00053,0.007228,0.007228,0.007228
16,136.998,1.46547,1.27661,1.4846,0.49921,0.44636,0.41803,0.17047,2.17234,1.73484,1.90461,0.00703,0.00703,0.00703
17,145.595,1.42571,1.24347,1.46029,0.45587,0.41384,0.3912,0.16291,2.1962,1.84256,1.81859,0.006832,0.006832,0.006832
18,154.197,1.45179,1.234,1.47514,0.45868,0.47911,0.44012,0.16206,2.1973,1.78121,1.83964,0.006634,0.006634,0.006634
19,162.603,1.41969,1.21474,1.4567,0.52165,0.4167,0.44861,0.16969,2.14923,1.81659,1.833,0.006436,0.006436,0.006436
20,171.294,1.40596,1.20218,1.44546,0.47524,0.44189,0.42449,0.17311,2.44631,1.70605,1.97969,0.006238,0.006238,0.006238
21,180.512,1.40942,1.16989,1.44061,0.49448,0.44573,0.42663,0.19217,2.15844,1.74322,1.77316,0.00604,0.00604,0.00604
22,188.493,1.39126,1.15177,1.42582,0.56625,0.44493,0.45366,0.1965,2.05221,1.71104,1.81189,0.005842,0.005842,0.005842
23,196.884,1.4054,1.17566,1.43264,0.50127,0.5097,0.4727,0.18947,2.24261,1.73174,1.90594,0.005644,0.005644,0.005644
24,205.003,1.362,1.14209,1.4171,0.51664,0.44863,0.45294,0.18388,2.19752,1.61842,1.84255,0.005446,0.005446,0.005446
25,213.213,1.37409,1.15826,1.42012,0.52636,0.44835,0.44643,0.19529,2.19695,1.67815,1.83,0.005248,0.005248,0.005248
26,221.35,1.36205,1.13408,1.4055,0.53328,0.50174,0.47455,0.19655,2.29075,1.74669,1.82294,0.00505,0.00505,0.00505
27,229.694,1.36539,1.12832,1.41202,0.54613,0.51831,0.50602,0.19995,2.16537,1.67232,1.80297,0.004852,0.004852,0.004852
28,238.064,1.34804,1.09028,1.38507,0.49756,0.51657,0.49459,0.2214,1.94321,1.57836,1.68292,0.004654,0.004654,0.004654
29,246.332,1.33063,1.09676,1.38012,0.48757,0.52998,0.46265,0.19381,2.11699,1.55041,1.75706,0.004456,0.004456,0.004456
30,254.367,1.33003,1.07992,1.37883,0.47517,0.49334,0.4724,0.19214,2.09123,1.57564,1.82066,0.004258,0.004258,0.004258
31,262.448,1.30328,1.06516,1.3678,0.53255,0.48396,0.48846,0.22156,2.03299,1.56971,1.74839,0.00406,0.00406,0.00406
32,270.465,1.3092,1.07021,1.36378,0.52428,0.54753,0.50565,0.2199,2.06555,1.53378,1.75444,0.003862,0.003862,0.003862
33,278.743,1.29851,1.0582,1.36243,0.56879,0.47018,0.47402,0.20585,2.11879,1.62762,1.8082,0.003664,0.003664,0.003664
34,286.86,1.27145,1.03139,1.3598,0.58404,0.43554,0.4555,0.20393,2.13635,1.59342,1.77881,0.003466,0.003466,0.003466
35,295.512,1.24391,1.00451,1.3225,0.56692,0.55093,0.52494,0.20059,2.19435,1.55549,1.78808,0.003268,0.003268,0.003268
36,303.865,1.24465,1.01567,1.33936,0.542,0.53854,0.50837,0.21536,2.08572,1.49646,1.76917,0.00307,0.00307,0.00307
37,312.346,1.25305,1.00668,1.32286,0.56268,0.47962,0.48746,0.20004,2.13966,1.54046,1.81254,0.002872,0.002872,0.002872
38,320.56,1.26707,0.99542,1.33424,0.58355,0.47547,0.48806,0.21631,1.96689,1.56472,1.75784,0.002674,0.002674,0.002674
39,329.219,1.23897,0.98799,1.31417,0.5763,0.4847,0.50258,0.22354,2.10964,1.54795,1.77034,0.002476,0.002476,0.002476
40,337.535,1.23699,0.98009,1.31475,0.58539,0.48467,0.48524,0.21723,2.00943,1.50374,1.70306,0.002278,0.002278,0.002278
41,412.947,1.27745,0.93921,1.38771,0.54602,0.53029,0.49851,0.19888,2.14676,1.61637,1.835,0.00208,0.00208,0.00208
42,422.275,1.23816,0.8804,1.343,0.58151,0.50753,0.50977,0.21002,2.21938,1.57926,1.81651,0.001882,0.001882,0.001882
43,431.545,1.18261,0.84891,1.31084,0.61624,0.44975,0.49606,0.21194,2.08814,1.52344,1.76327,0.001684,0.001684,0.001684
