epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.658,1.44254,0.88595,0.96019,0.55309,0.36453,0.39487,0.20331,1.55468,1.28268,1.09901,0.0677029,0.00099888,0.00099888
2,203.661,1.4297,0.87267,0.95778,0.48714,0.40862,0.39403,0.20331,1.57134,1.19382,1.09362,0.0353498,0.00197909,0.00197909
3,299.332,1.4381,0.88247,0.96165,0.51801,0.43386,0.42067,0.21051,1.57668,1.19116,1.10425,0.00297683,0.0029395,0.0029395
4,397.173,1.44554,0.87952,0.95985,0.54637,0.3899,0.41316,0.21037,1.62026,1.18654,1.12988,0.0029109,0.0029109,0.0029109
5,493.078,1.43758,0.88019,0.9581,0.51358,0.40808,0.40886,0.21117,1.55781,1.15893,1.09015,0.0028812,0.0028812,0.0028812
6,589.002,1.4453,0.88052,0.95983,0.49039,0.41936,0.41285,0.21388,1.55309,1.17715,1.09694,0.0028515,0.0028515,0.0028515
7,684.077,1.43459,0.87154,0.9594,0.49324,0.44362,0.41991,0.21139,1.56272,1.17929,1.10203,0.0028218,0.0028218,0.0028218
8,779.035,1.44122,0.88455,0.96212,0.51555,0.4415,0.42879,0.21937,1.53801,1.16915,1.0942,0.0027921,0.0027921,0.0027921
9,874.806,1.43852,0.87841,0.95956,0.51752,0.41897,0.41484,0.21034,1.54084,1.17285,1.09593,0.0027624,0.0027624,0.0027624
10,970.366,1.43821,0.8771,0.95996,0.51642,0.46676,0.43658,0.2178,1.54851,1.21021,1.10929,0.0027327,0.0027327,0.0027327
11,1065.63,1.43677,0.87239,0.96071,0.55773,0.42174,0.43101,0.21855,1.55479,1.16707,1.09997,0.002703,0.002703,0.002703
12,1161.18,1.43687,0.87577,0.95718,0.53391,0.4385,0.42747,0.22112,1.5454,1.1871,1.08874,0.0026733,0.0026733,0.0026733
13,1256.43,1.43275,0.87025,0.95802,0.56429,0.45075,0.43544,0.22405,1.52002,1.14552,1.08119,0.0026436,0.0026436,0.0026436
14,1351.45,1.43735,0.8718,0.95783,0.57406,0.42945,0.43619,0.22272,1.5315,1.21516,1.08002,0.0026139,0.0026139,0.0026139
15,1446.59,1.42771,0.86643,0.95724,0.55346,0.43128,0.43525,0.21998,1.56607,1.18482,1.09347,0.0025842,0.0025842,0.0025842
16,1544.02,1.43043,0.86293,0.95567,0.53834,0.43174,0.4285,0.21883,1.5587,1.18407,1.10327,0.0025545,0.0025545,0.0025545
17,1639.37,1.42692,0.8604,0.95641,0.53579,0.40563,0.4215,0.21317,1.55773,1.17123,1.09556,0.0025248,0.0025248,0.0025248
18,1734.66,1.4256,0.86072,0.9558,0.52911,0.4706,0.4383,0.22095,1.5567,1.19703,1.10848,0.0024951,0.0024951,0.0024951
19,1830.22,1.41915,0.85367,0.95339,0.54004,0.42633,0.43351,0.22665,1.5348,1.16148,1.08422,0.0024654,0.0024654,0.0024654
20,1925.17,1.41699,0.85676,0.95479,0.57825,0.47351,0.45244,0.2299,1.54593,1.13102,1.09723,0.0024357,0.0024357,0.0024357
21,2020.42,1.4227,0.85838,0.9568,0.54789,0.44843,0.43435,0.22248,1.52126,1.17918,1.07615,0.002406,0.002406,0.002406
22,2115.5,1.41276,0.85099,0.95297,0.56075,0.41953,0.42797,0.22076,1.53705,1.2135,1.09705,0.0023763,0.0023763,0.0023763
23,2210.71,1.41008,0.84888,0.95365,0.54263,0.43038,0.44941,0.23047,1.53304,1.12967,1.09434,0.0023466,0.0023466,0.0023466
24,2306.2,1.41588,0.85517,0.95477,0.60171,0.42671,0.4599,0.23099,1.54651,1.15262,1.09504,0.0023169,0.0023169,0.0023169
25,2401.68,1.40787,0.84468,0.9516,0.5806,0.43321,0.44217,0.22527,1.52026,1.14202,1.0827,0.0022872,0.0022872,0.0022872
26,2497.05,1.40931,0.85717,0.95778,0.56883,0.41027,0.4279,0.22012,1.54874,1.20463,1.10413,0.0022575,0.0022575,0.0022575
27,2592.54,1.40748,0.84155,0.95153,0.5177,0.4415,0.43558,0.22614,1.50994,1.10785,1.08634,0.0022278,0.0022278,0.0022278
28,2687.49,1.40786,0.84136,0.95018,0.54578,0.42421,0.42954,0.22311,1.51552,1.10525,1.07819,0.0021981,0.0021981,0.0021981
29,2783.15,1.4006,0.8397,0.95024,0.50554,0.42567,0.43358,0.22157,1.53436,1.14478,1.09434,0.0021684,0.0021684,0.0021684
30,2882.86,1.40214,0.83615,0.94742,0.54696,0.4448,0.44326,0.2349,1.52575,1.15303,1.08901,0.0021387,0.0021387,0.0021387
31,2978.44,1.40066,0.83616,0.94852,0.52928,0.44893,0.44384,0.22964,1.52897,1.1237,1.09585,0.002109,0.002109,0.002109
32,3073.73,1.39477,0.83273,0.94848,0.55421,0.45562,0.43953,0.22648,1.52802,1.15085,1.0905,0.0020793,0.0020793,0.0020793
