epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.0729,1.39157,0.82264,0.94421,0.53355,0.43598,0.43904,0.2307,1.52698,1.13365,1.06128,0.0669075,0.000166294,0.000166294
2,188.011,1.34795,0.78968,0.93182,0.60018,0.44419,0.45916,0.23928,1.51312,1.14337,1.08099,0.0337408,0.000332879,0.000332879
3,941.182,1.33276,0.77524,0.92814,0.57713,0.44174,0.45919,0.242,1.49393,1.16805,1.07268,0.00057371,0.000499139,0.000499139
4,1028.42,1.36239,0.78577,0.93648,0.56101,0.46594,0.46577,0.24639,1.48331,1.12668,1.0604,0.000498902,0.000498902,0.000498902
5,1116.67,1.35642,0.78249,0.93519,0.56635,0.45425,0.45803,0.24154,1.47833,1.14539,1.05848,0.000498048,0.000498048,0.000498048
6,1771.08,1.3557,0.78155,0.93422,0.57149,0.47073,0.46825,0.24593,1.48267,1.17525,1.06743,0.000496953,0.000496953,0.000496953
7,1842.64,1.36205,0.78305,0.9354,0.62686,0.45355,0.46484,0.24269,1.48309,1.14369,1.06159,0.000495616,0.000495616,0.000495616
8,1922.2,1.34853,0.77715,0.93259,0.58264,0.46768,0.46926,0.24791,1.47636,1.11373,1.06456,0.000494039,0.000494039,0.000494039
9,2007.73,1.34827,0.77644,0.93435,0.55038,0.48395,0.46774,0.24612,1.46943,1.1139,1.06263,0.000492224,0.000492224,0.000492224
10,2482.39,1.35623,0.78223,0.93459,0.5624,0.46778,0.46045,0.24344,1.48417,1.11106,1.06412,0.000490173,0.000490173,0.000490173
11,2556.96,1.35231,0.78097,0.93667,0.59038,0.45333,0.46003,0.24295,1.46714,1.13083,1.06018,0.000487886,0.000487886,0.000487886
12,2647.7,1.34691,0.77496,0.93072,0.56559,0.45308,0.46387,0.24588,1.47892,1.12295,1.06028,0.000485368,0.000485368,0.000485368
13,2726.77,1.3529,0.77721,0.93234,0.58043,0.452,0.46529,0.24423,1.47904,1.11387,1.06269,0.00048262,0.00048262,0.00048262
14,3240.36,1.34757,0.77324,0.93138,0.59261,0.44776,0.46139,0.24222,1.48232,1.13452,1.06238,0.000479644,0.000479644,0.000479644
15,3310.01,1.34895,0.77472,0.93093,0.61363,0.44886,0.47039,0.2463,1.47832,1.13777,1.06153,0.000476445,0.000476445,0.000476445
16,3388.71,1.35114,0.77545,0.93315,0.61034,0.44946,0.46851,0.24574,1.46938,1.12393,1.06191,0.000473024,0.000473024,0.000473024
17,3475.85,1.34979,0.77437,0.93031,0.57671,0.44711,0.45904,0.24177,1.48087,1.1149,1.06299,0.000469386,0.000469386,0.000469386
18,3567.55,1.3415,0.77101,0.93144,0.57888,0.46769,0.46798,0.24822,1.47542,1.12083,1.06637,0.000465534,0.000465534,0.000465534
19,3663.71,1.34739,0.77467,0.93164,0.58566,0.47691,0.46808,0.24634,1.47471,1.14065,1.06692,0.000461471,0.000461471,0.000461471
20,3733.65,1.34486,0.77148,0.93087,0.61598,0.45812,0.46767,0.24635,1.47351,1.1281,1.06505,0.000457202,0.000457202,0.000457202
21,3809.99,1.34895,0.77611,0.93255,0.58727,0.47285,0.46809,0.24803,1.47463,1.11166,1.06093,0.000452732,0.000452732,0.000452732
22,3888.98,1.34492,0.77183,0.92862,0.6118,0.46092,0.46716,0.24749,1.47015,1.13864,1.05804,0.000448063,0.000448063,0.000448063
23,3958.59,1.34017,0.76966,0.92995,0.60591,0.46452,0.47603,0.24948,1.48329,1.10962,1.06784,0.000443202,0.000443202,0.000443202
24,4029.21,1.35026,0.77758,0.93392,0.60414,0.46145,0.47496,0.24979,1.47506,1.11651,1.06349,0.000438152,0.000438152,0.000438152
25,4120.24,1.34783,0.77525,0.93181,0.57929,0.4698,0.46985,0.24715,1.47281,1.12218,1.05917,0.00043292,0.00043292,0.00043292
26,4622.79,1.34546,0.7731,0.93113,0.62533,0.45385,0.46288,0.24454,1.47753,1.12102,1.06501,0.000427509,0.000427509,0.000427509
27,4696.03,1.3446,0.77199,0.93006,0.59391,0.45851,0.4665,0.24837,1.4684,1.12237,1.0582,0.000421925,0.000421925,0.000421925
28,4793.8,1.34576,0.77366,0.93227,0.58574,0.4639,0.46692,0.24648,1.47081,1.13619,1.06201,0.000416175,0.000416175,0.000416175
29,4875.01,1.33612,0.76906,0.9298,0.57545,0.46297,0.46404,0.24509,1.47473,1.13157,1.06687,0.000410262,0.000410262,0.000410262
30,4944.45,1.34301,0.77206,0.93035,0.59282,0.46666,0.46816,0.2457,1.46708,1.10917,1.05995,0.000404194,0.000404194,0.000404194
31,5024.96,1.34333,0.77164,0.93095,0.6311,0.45097,0.46635,0.24559,1.46997,1.13705,1.05788,0.000397977,0.000397977,0.000397977
32,5305.45,1.34377,0.77082,0.93079,0.5777,0.45658,0.46631,0.24378,1.48278,1.11493,1.06854,0.000391616,0.000391616,0.000391616
33,5385.97,1.35091,0.77436,0.93118,0.57087,0.46607,0.47274,0.24866,1.47147,1.13458,1.0646,0.000385117,0.000385117,0.000385117
34,5459.14,1.34755,0.77201,0.92923,0.58321,0.46663,0.47217,0.24959,1.47684,1.12755,1.06663,0.000378488,0.000378488,0.000378488
35,5536.6,1.34169,0.77069,0.93172,0.57495,0.46352,0.46445,0.24511,1.48286,1.13394,1.07107,0.000371734,0.000371734,0.000371734
36,5633.35,1.33823,0.76778,0.92879,0.58974,0.45974,0.46507,0.2465,1.4768,1.11037,1.06638,0.000364863,0.000364863,0.000364863
