epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.464,2.02898,1.85331,1.24299,0.32401,0.30632,0.27773,0.12843,1.90104,1.72565,1.23145,0.0677029,0.00099888,0.00099888
2,467.819,1.76875,1.31185,1.09861,0.47655,0.33818,0.33554,0.15503,1.88115,1.62923,1.19144,0.0353413,0.00197061,0.00197061
3,693.688,1.68258,1.17673,1.05282,0.47047,0.38166,0.36306,0.17907,1.7122,1.48315,1.14686,0.00295138,0.00291405,0.00291405
4,921.766,1.63113,1.09397,1.03253,0.47883,0.38522,0.36603,0.1901,1.65555,1.53437,1.12744,0.00287271,0.00287271,0.00287271
5,1147.9,1.60145,1.04439,1.0178,0.47955,0.38969,0.3806,0.19262,1.67763,1.42618,1.11044,0.00283029,0.00283029,0.00283029
6,1382.72,1.5843,1.01931,1.0093,0.49864,0.41849,0.39372,0.20251,1.67642,1.4683,1.11513,0.00278786,0.00278786,0.00278786
7,1608.87,1.56525,1.0002,1.00565,0.48999,0.41284,0.39645,0.20693,1.60556,1.48237,1.10707,0.00274543,0.00274543,0.00274543
8,1836.96,1.55856,0.98643,1.00024,0.51478,0.40482,0.40804,0.2099,1.59906,1.33604,1.10688,0.002703,0.002703,0.002703
9,2064.82,1.54776,0.98091,0.99839,0.52011,0.4139,0.40595,0.20632,1.59508,1.30973,1.10117,0.00266057,0.00266057,0.00266057
10,2291.16,1.54293,0.96991,0.99541,0.55154,0.41293,0.40927,0.20841,1.60921,1.36178,1.1016,0.00261814,0.00261814,0.00261814
11,2518.14,1.53995,0.96507,0.99634,0.5152,0.42905,0.40776,0.20967,1.6038,1.32092,1.09017,0.00257571,0.00257571,0.00257571
12,2745.07,1.53228,0.95739,0.99181,0.5675,0.4235,0.41639,0.2139,1.58151,1.31404,1.09684,0.00253329,0.00253329,0.00253329
13,2972.79,1.53428,0.95431,0.99178,0.49838,0.44081,0.41807,0.21298,1.55666,1.31241,1.08383,0.00249086,0.00249086,0.00249086
14,3198.23,1.51723,0.93802,0.98695,0.50388,0.43884,0.40933,0.20624,1.61783,1.27982,1.10029,0.00244843,0.00244843,0.00244843
15,3426.17,1.52252,0.93843,0.98528,0.54112,0.42273,0.42659,0.21763,1.56168,1.26305,1.09001,0.002406,0.002406,0.002406
16,3654.01,1.52615,0.94088,0.98728,0.56243,0.44721,0.42641,0.22014,1.5474,1.28842,1.07802,0.00236357,0.00236357,0.00236357
17,3880.49,1.51078,0.92996,0.98484,0.53036,0.42846,0.41388,0.21522,1.56186,1.29442,1.08928,0.00232114,0.00232114,0.00232114
18,4107.48,1.51367,0.93106,0.98572,0.54713,0.44374,0.43397,0.22268,1.57509,1.31164,1.08633,0.00227871,0.00227871,0.00227871
19,4338.13,1.51097,0.92447,0.98272,0.55728,0.4461,0.43598,0.22776,1.54961,1.25833,1.08614,0.00223629,0.00223629,0.00223629
20,4567.77,1.51232,0.92651,0.98365,0.56885,0.4321,0.43315,0.22433,1.55405,1.26058,1.08733,0.00219386,0.00219386,0.00219386
21,4800.63,1.50579,0.92276,0.98105,0.53686,0.43087,0.43292,0.2265,1.53464,1.27104,1.07463,0.00215143,0.00215143,0.00215143
22,5026.16,1.50497,0.91632,0.98056,0.5408,0.43815,0.42963,0.22158,1.55642,1.2553,1.08564,0.002109,0.002109,0.002109
23,5236.15,1.50038,0.91387,0.98016,0.56364,0.42751,0.43663,0.22923,1.53539,1.24757,1.08222,0.00206657,0.00206657,0.00206657
24,5446.29,1.49497,0.91182,0.97864,0.55734,0.44859,0.43819,0.22671,1.53354,1.21593,1.08443,0.00202414,0.00202414,0.00202414
25,5655.5,1.48869,0.90724,0.9768,0.5573,0.4339,0.42299,0.22249,1.5212,1.24394,1.0798,0.00198171,0.00198171,0.00198171
26,5860.14,1.48811,0.90651,0.98073,0.58549,0.44844,0.43819,0.22897,1.5287,1.21536,1.07255,0.00193929,0.00193929,0.00193929
27,6068.54,1.48663,0.90222,0.97615,0.55596,0.44248,0.43442,0.2248,1.54125,1.20941,1.07571,0.00189686,0.00189686,0.00189686
28,6294.81,1.48092,0.89473,0.97408,0.54116,0.4498,0.43613,0.22699,1.53305,1.20436,1.07335,0.00185443,0.00185443,0.00185443
29,6499.45,1.47971,0.89683,0.97391,0.5607,0.46293,0.45303,0.23339,1.53314,1.21783,1.08244,0.001812,0.001812,0.001812
30,6707.59,1.48599,0.9036,0.97605,0.54857,0.44719,0.4528,0.23914,1.5328,1.21948,1.07292,0.00176957,0.00176957,0.00176957
31,6914.51,1.47879,0.89487,0.97275,0.58001,0.45832,0.45334,0.23714,1.51947,1.22962,1.07008,0.00172714,0.00172714,0.00172714
32,7120.35,1.47696,0.89391,0.97529,0.57653,0.45945,0.44892,0.2337,1.53717,1.21918,1.07109,0.00168471,0.00168471,0.00168471
33,7326.96,1.48576,0.89543,0.97494,0.53022,0.47302,0.43732,0.22883,1.53181,1.22152,1.07911,0.00164229,0.00164229,0.00164229
34,7534.62,1.47999,0.89015,0.97219,0.52945,0.47437,0.43673,0.22831,1.52809,1.21699,1.07361,0.00159986,0.00159986,0.00159986
35,7741.24,1.48764,0.89257,0.97367,0.55978,0.47023,0.44895,0.23216,1.51737,1.20411,1.07361,0.00155743,0.00155743,0.00155743
36,7947.01,1.47739,0.89109,0.9727,0.56623,0.45992,0.45222,0.23482,1.51632,1.16767,1.07607,0.001515,0.001515,0.001515
37,8152.46,1.47024,0.88197,0.97057,0.58083,0.46054,0.44988,0.23722,1.52427,1.22022,1.07777,0.00147257,0.00147257,0.00147257
