epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.226,1.97459,1.66414,1.16731,0.30966,0.23682,0.23045,0.11642,1.67768,1.33664,1.13477,0.0680716,0.00133035,0.00133035
2,308.498,1.6483,1.14005,1.02666,0.35628,0.27237,0.27778,0.1464,1.56668,1.1963,1.1097,0.0359837,0.00257578,0.00257578
3,499.461,1.57111,1.04747,0.99865,0.40135,0.28236,0.29898,0.15531,1.51657,1.11178,1.09219,0.00380779,0.00373321,0.00373321
4,927.836,1.52695,0.99389,0.9856,0.40239,0.27809,0.3011,0.15709,1.51176,1.11556,1.09769,0.003604,0.003604,0.003604
5,1112.33,1.51457,0.97053,0.97735,0.41,0.3099,0.30927,0.1594,1.49936,1.0695,1.08884,0.003472,0.003472,0.003472
6,1251.36,1.49118,0.94947,0.97235,0.42356,0.2901,0.32411,0.16702,1.49483,1.08054,1.09262,0.00334,0.00334,0.00334
7,1379.48,1.48806,0.94243,0.96932,0.45633,0.29921,0.32421,0.16667,1.47958,1.05525,1.07023,0.003208,0.003208,0.003208
8,1508.23,1.48303,0.93406,0.96584,0.44203,0.31881,0.33229,0.16711,1.48218,1.03317,1.07771,0.003076,0.003076,0.003076
9,1654.08,1.481,0.92838,0.96618,0.51357,0.32353,0.35222,0.17533,1.47257,1.03865,1.05422,0.002944,0.002944,0.002944
10,1804.51,1.46869,0.91699,0.96287,0.40883,0.34116,0.34361,0.17634,1.47572,1.02118,1.07064,0.002812,0.002812,0.002812
11,1934.23,1.4644,0.91723,0.96228,0.44011,0.35951,0.34939,0.17496,1.45314,1.03078,1.05559,0.00268,0.00268,0.00268
12,2079.63,1.45863,0.9078,0.95809,0.40678,0.33503,0.3386,0.17552,1.46782,1.04865,1.07033,0.002548,0.002548,0.002548
13,2242.46,1.45545,0.9046,0.95908,0.48323,0.38539,0.37667,0.18239,1.45356,1.00129,1.05853,0.002416,0.002416,0.002416
14,2408.85,1.45827,0.90385,0.95811,0.41316,0.38124,0.36335,0.18115,1.4638,1.01876,1.06432,0.002284,0.002284,0.002284
15,2527.82,1.44996,0.89439,0.95686,0.50566,0.34811,0.36365,0.17849,1.45028,1.01385,1.06003,0.002152,0.002152,0.002152
16,3312.19,1.44097,0.88642,0.95381,0.57816,0.31816,0.3804,0.1854,1.44039,1.00867,1.04758,0.00202,0.00202,0.00202
17,3424.11,1.43582,0.88393,0.95283,0.47777,0.38791,0.37892,0.18774,1.45129,0.98761,1.06313,0.001888,0.001888,0.001888
18,3565.24,1.44201,0.89093,0.95666,0.43706,0.35626,0.35434,0.18015,1.45135,1.01183,1.0633,0.001756,0.001756,0.001756
19,3737.94,1.43576,0.8822,0.9515,0.46256,0.36033,0.3655,0.18582,1.45341,0.98693,1.07037,0.001624,0.001624,0.001624
20,3885.91,1.43306,0.87775,0.95217,0.55934,0.34939,0.38201,0.19002,1.44223,0.98905,1.05575,0.001492,0.001492,0.001492
21,4009.19,1.32165,0.77971,0.92458,0.47632,0.3658,0.38049,0.19007,1.45271,0.9998,1.05765,0.00136,0.00136,0.00136
22,4131.65,1.31026,0.76072,0.92144,0.46627,0.39552,0.39919,0.19401,1.44214,0.98323,1.05422,0.001228,0.001228,0.001228
23,4248.51,1.30337,0.75551,0.92003,0.48028,0.38629,0.40293,0.1993,1.43101,0.9833,1.04812,0.001096,0.001096,0.001096
24,4355.94,1.30291,0.75329,0.91814,0.50006,0.37832,0.38534,0.19171,1.43341,0.97831,1.05068,0.000964,0.000964,0.000964
25,4698.99,1.29403,0.74599,0.91774,0.54775,0.35984,0.39386,0.19106,1.42858,0.97826,1.05178,0.000832,0.000832,0.000832
26,4804.62,1.28698,0.74098,0.91597,0.50631,0.38109,0.39505,0.19632,1.42613,0.97443,1.04715,0.0007,0.0007,0.0007
27,4918.08,1.28758,0.73884,0.91638,0.53106,0.37297,0.38632,0.19603,1.41948,0.99062,1.04568,0.000568,0.000568,0.000568
28,5017.16,1.28225,0.7344,0.91585,0.51573,0.35817,0.37903,0.19341,1.41846,0.98261,1.04556,0.000436,0.000436,0.000436
29,6146.49,1.28484,0.75494,0.92102,0.54601,0.38033,0.39043,0.19444,1.4185,0.96862,1.04241,0.000304,0.000304,0.000304
30,6250.65,1.27917,0.72965,0.91395,0.50934,0.36847,0.38278,0.19123,1.4215,0.97061,1.04173,0.000172,0.000172,0.000172
