epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.25697,1.34481,1.30791,1.42988,0.49137,0.49029,0.46369,0.196,2.07007,1.72184,1.81096,0.000361516,0.000361516,0.000361516
2,16.581,1.35569,1.24301,1.43732,0.55481,0.44194,0.46439,0.1825,2.36664,1.88875,1.92177,0.000717359,0.000717359,0.000717359
3,23.121,1.4316,1.32186,1.47367,0.48258,0.33061,0.36116,0.14004,2.2233,2.22008,1.96447,0.00105854,0.00105854,0.00105854
4,29.723,1.48341,1.40934,1.51926,0.5355,0.33109,0.35577,0.13391,2.33778,2.39138,1.99799,0.00104501,0.00104501,0.00104501
5,36.3633,1.47663,1.42599,1.50625,0.3768,0.432,0.38408,0.13989,2.44006,2.14904,2.05197,0.00102301,0.00102301,0.00102301
6,42.9123,1.47465,1.43095,1.53102,0.48395,0.46089,0.42328,0.17467,2.25509,1.8413,1.91181,0.00100101,0.00100101,0.00100101
1,8.77507,1.34481,1.30791,1.42988,0.49336,0.49211,0.46538,0.19743,2.06468,1.7237,1.80255,0.000361516,0.000361516,0.000361516
2,15.4807,1.35569,1.24301,1.43732,0.55338,0.44088,0.46445,0.18455,2.36207,1.89233,1.9161,0.000717359,0.000717359,0.000717359
3,22.1149,1.4316,1.32186,1.47367,0.48258,0.33061,0.36339,0.14512,2.21528,2.22672,1.95228,0.00105854,0.00105854,0.00105854
4,28.7673,1.48341,1.40934,1.51926,0.53455,0.33585,0.35737,0.13651,2.33361,2.39803,1.99228,0.00104501,0.00104501,0.00104501
5,35.956,1.47663,1.42599,1.50625,0.3768,0.432,0.38482,0.14195,2.43676,2.15825,2.04464,0.00102301,0.00102301,0.00102301
6,42.7441,1.47465,1.43095,1.53102,0.48395,0.46089,0.42288,0.17542,2.25366,1.84559,1.90576,0.00100101,0.00100101,0.00100101
