epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.16607,2.0235,3.52197,1.98232,0.01472,0.34079,0.04126,0.02151,2.11385,3.83983,1.72186,0.000361516,0.000361516,0.000361516
2,15.1417,1.89979,2.8782,1.90021,0.35555,0.18103,0.10824,0.03656,2.31916,3.31684,2.05372,0.000717359,0.000717359,0.000717359
3,22.2476,1.90952,2.64289,1.89725,0.1476,0.21987,0.0779,0.03302,2.72708,3.89014,2.43183,0.00105854,0.00105854,0.00105854
4,29.092,1.9013,2.60769,1.89648,0.21502,0.14462,0.10418,0.04162,2.60906,4.86503,2.29805,0.00104501,0.00104501,0.00104501
5,35.8698,1.85226,2.47818,1.83189,0.19286,0.18887,0.11658,0.04092,2.72594,3.11394,2.29855,0.00102301,0.00102301,0.00102301
6,43.0398,1.82021,2.36506,1.8399,0.23353,0.27218,0.16254,0.06266,2.4265,2.88372,2.13877,0.00100101,0.00100101,0.00100101
7,51.0105,1.80667,2.33091,1.79603,0.36725,0.24216,0.22123,0.07973,2.40646,3.41008,2.06394,0.000979013,0.000979013,0.000979013
8,57.8171,1.77196,2.26414,1.78522,0.42331,0.32231,0.29136,0.1019,2.51863,2.35483,2.17,0.000957015,0.000957015,0.000957015
9,64.5694,1.75948,2.18096,1.76129,0.26562,0.28046,0.19714,0.06823,2.4241,2.68919,2.0532,0.000935018,0.000935018,0.000935018
10,71.2727,1.77235,2.17848,1.78098,0.31796,0.32415,0.24199,0.08615,2.35474,2.55155,2.09639,0.00091302,0.00091302,0.00091302
11,78.0153,1.71908,2.10742,1.73026,0.30192,0.23171,0.21907,0.0809,2.54593,2.89419,2.31295,0.000891022,0.000891022,0.000891022
12,84.8645,1.69573,2.05776,1.71622,0.29514,0.36897,0.28292,0.1155,2.21567,2.43568,1.95294,0.000869024,0.000869024,0.000869024
13,91.5564,1.70626,2.01928,1.72055,0.35417,0.37175,0.30645,0.10485,2.26186,2.33861,2.02801,0.000847026,0.000847026,0.000847026
14,98.2355,1.68834,1.97432,1.72087,0.41413,0.37801,0.3622,0.1266,2.17437,2.26146,1.95808,0.000825029,0.000825029,0.000825029
15,104.955,1.6745,1.90699,1.68599,0.49516,0.37601,0.31447,0.11005,2.39391,2.28219,2.08669,0.000803031,0.000803031,0.000803031
16,111.694,1.65511,1.8938,1.68362,0.36185,0.37467,0.31036,0.11328,2.23169,2.28392,1.97504,0.000781033,0.000781033,0.000781033
17,118.496,1.61092,1.82004,1.63404,0.3698,0.40868,0.34731,0.13268,2.44379,2.03573,2.122,0.000759035,0.000759035,0.000759035
18,125.175,1.65797,1.80646,1.67775,0.40263,0.35329,0.33115,0.12632,2.43996,2.08778,2.17142,0.000737037,0.000737037,0.000737037
19,131.759,1.6135,1.79872,1.64518,0.37922,0.2998,0.29142,0.0974,2.51177,2.33539,2.13019,0.00071504,0.00071504,0.00071504
20,138.4,1.59979,1.74407,1.61876,0.39321,0.42551,0.35482,0.13082,2.25287,2.20907,1.97325,0.000693042,0.000693042,0.000693042
21,145.072,1.57551,1.67621,1.60617,0.48958,0.34716,0.35517,0.14148,2.23814,2.11556,1.97802,0.000671044,0.000671044,0.000671044
22,151.86,1.58579,1.65868,1.59649,0.46942,0.35202,0.3722,0.13846,2.29225,2.12517,1.94251,0.000649046,0.000649046,0.000649046
23,158.685,1.55937,1.65024,1.58168,0.49994,0.36147,0.36754,0.14588,2.28898,2.04923,1.95834,0.000627048,0.000627048,0.000627048
24,165.384,1.55262,1.59365,1.55135,0.55737,0.4508,0.43576,0.17652,2.15641,1.81651,1.90645,0.000605051,0.000605051,0.000605051
25,172.072,1.52985,1.56148,1.5548,0.4163,0.47248,0.40089,0.14782,2.3604,1.89866,1.97781,0.000583053,0.000583053,0.000583053
26,178.817,1.5203,1.5502,1.55616,0.43096,0.47607,0.42903,0.15927,2.13772,2.02141,1.8947,0.000561055,0.000561055,0.000561055
27,185.465,1.5157,1.51035,1.56039,0.46478,0.48406,0.43824,0.16598,2.27852,1.92799,1.95654,0.000539057,0.000539057,0.000539057
28,192.092,1.46163,1.45562,1.52332,0.49706,0.49278,0.45116,0.1779,2.306,1.80992,1.99932,0.000517059,0.000517059,0.000517059
29,198.756,1.48457,1.49407,1.55332,0.46128,0.46868,0.43641,0.17457,2.1909,1.82263,1.93681,0.000495062,0.000495062,0.000495062
30,205.4,1.45603,1.44599,1.52138,0.46042,0.4621,0.41877,0.17353,2.42761,1.82517,2.0845,0.000473064,0.000473064,0.000473064
31,212.18,1.47725,1.45331,1.52752,0.52165,0.50194,0.46651,0.18462,2.11414,1.79463,1.8758,0.000451066,0.000451066,0.000451066
32,218.909,1.46396,1.42184,1.5107,0.54129,0.47733,0.49313,0.20401,2.12739,1.7963,1.82902,0.000429068,0.000429068,0.000429068
33,225.596,1.40522,1.35953,1.47356,0.53071,0.45288,0.47094,0.18893,2.22302,1.79051,1.91805,0.00040707,0.00040707,0.00040707
34,232.35,1.40018,1.35213,1.47123,0.47317,0.45694,0.43326,0.17582,2.18511,1.7373,1.86671,0.000385073,0.000385073,0.000385073
35,239.009,1.43156,1.35479,1.48437,0.56951,0.48035,0.47164,0.20087,2.09359,1.68893,1.80214,0.000363075,0.000363075,0.000363075
36,245.746,1.39426,1.31467,1.45406,0.52949,0.43632,0.45858,0.19809,2.20152,1.80486,1.88795,0.000341077,0.000341077,0.000341077
37,252.583,1.38767,1.32257,1.46042,0.51965,0.473,0.45338,0.19759,2.30024,1.66468,1.88104,0.000319079,0.000319079,0.000319079
38,259.292,1.35713,1.26751,1.44011,0.50126,0.494,0.4546,0.192,2.19915,1.79488,1.83565,0.000297081,0.000297081,0.000297081
39,265.98,1.33409,1.2409,1.42137,0.61655,0.49195,0.51522,0.2067,2.18904,1.69534,1.85719,0.000275084,0.000275084,0.000275084
40,272.688,1.34796,1.26118,1.43857,0.48561,0.48371,0.46209,0.19219,2.24283,1.6714,1.86354,0.000253086,0.000253086,0.000253086
41,298.752,1.40212,1.23576,1.4982,0.59533,0.44791,0.49622,0.19185,2.27022,1.67476,1.91351,0.000231088,0.000231088,0.000231088
42,305.305,1.3495,1.14075,1.44854,0.62256,0.45276,0.48813,0.18999,2.12187,1.68665,1.8487,0.00020909,0.00020909,0.00020909
43,311.901,1.32507,1.1183,1.43021,0.59131,0.48064,0.49138,0.19365,2.12106,1.77131,1.82571,0.000187092,0.000187092,0.000187092
44,318.438,1.29953,1.08538,1.4156,0.57904,0.48981,0.48694,0.19767,2.13597,1.71726,1.83697,0.000165095,0.000165095,0.000165095
45,325.035,1.28365,1.05782,1.41762,0.61666,0.46605,0.49651,0.20472,2.124,1.69294,1.86443,0.000143097,0.000143097,0.000143097
46,331.575,1.27315,1.0416,1.40261,0.58282,0.46855,0.4667,0.18006,2.16624,1.70703,1.86629,0.000121099,0.000121099,0.000121099
47,338.166,1.24829,1.01638,1.38789,0.58024,0.48003,0.49265,0.20261,2.16066,1.71304,1.84495,9.91012e-05,9.91012e-05,9.91012e-05
48,344.768,1.23435,1.0239,1.36531,0.59498,0.49489,0.49058,0.21088,2.16189,1.70931,1.84781,7.71034e-05,7.71034e-05,7.71034e-05
49,351.429,1.23615,1.00198,1.38106,0.57577,0.48467,0.48044,0.20115,2.28615,1.69219,1.9251,5.51056e-05,5.51056e-05,5.51056e-05
50,358.001,1.21644,0.99298,1.35898,0.56292,0.47895,0.47643,0.20591,2.23997,1.66424,1.89119,3.31078e-05,3.31078e-05,3.31078e-05
