epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.475,1.94772,1.49398,1.11325,0.46774,0.31214,0.32242,0.16529,1.70184,1.1236,1.00276,0.00111031,0.00111031,0.00111031
2,350.882,1.72875,1.14914,1.02164,0.5036,0.33307,0.35522,0.18361,1.63521,1.06054,0.9775,0.00103767,0.00103767,0.00103767
3,515.348,1.65636,1.07577,1.00078,0.53255,0.34946,0.3784,0.19565,1.58525,1.01669,0.9683,0.000964348,0.000964348,0.000964348
4,681.671,1.6344,1.04415,0.99045,0.52533,0.36472,0.39058,0.20243,1.54797,0.96828,0.95583,0.000891022,0.000891022,0.000891022
5,849.518,1.60984,1.01259,0.98322,0.53007,0.37231,0.39797,0.20851,1.53309,0.93853,0.95275,0.000817696,0.000817696,0.000817696
6,1038.68,1.5694,0.98805,0.97701,0.54644,0.37765,0.40705,0.21173,1.53164,0.93993,0.95045,0.00074437,0.00074437,0.00074437
7,1190.81,1.55703,0.96636,0.97341,0.56133,0.3771,0.4113,0.21596,1.5221,0.92948,0.9474,0.000671044,0.000671044,0.000671044
8,1346.07,1.54358,0.94972,0.96876,0.55988,0.38525,0.41637,0.21875,1.50085,0.91024,0.94635,0.000597718,0.000597718,0.000597718
9,1516.35,1.5204,0.92714,0.96196,0.55593,0.39226,0.42313,0.22137,1.4818,0.89703,0.93775,0.000524392,0.000524392,0.000524392
10,1686.68,1.51093,0.91158,0.95836,0.57684,0.39297,0.43034,0.2257,1.48015,0.87799,0.93667,0.000451066,0.000451066,0.000451066
11,1859.33,1.49378,0.89473,0.95301,0.56709,0.40261,0.43428,0.22797,1.46756,0.86781,0.93462,0.00037774,0.00037774,0.00037774
12,2014.12,1.48836,0.8864,0.95256,0.5698,0.40105,0.43562,0.22951,1.45982,0.86314,0.93171,0.000304414,0.000304414,0.000304414
13,2172.16,1.46847,0.86853,0.94565,0.58926,0.40333,0.44298,0.23316,1.45426,0.84965,0.92922,0.000231088,0.000231088,0.000231088
14,2325.97,1.45992,0.85662,0.94368,0.58809,0.41292,0.44916,0.23786,1.43375,0.83602,0.92648,0.000157762,0.000157762,0.000157762
15,2479.91,1.4439,0.84323,0.94295,0.59303,0.4141,0.45279,0.24034,1.42576,0.82751,0.92374,8.4436e-05,8.4436e-05,8.4436e-05
